,0,1
426,-4.6709723,-9.152785
427,0.25719544,-10.465192
428,-6.4206634,-5.9257474
429,-4.2287664,-10.241518
430,-4.35698,-10.50799
431,-1.6184188,-11.822385
432,-6.3030105,-11.781887
433,-0.11984341,-7.91637
434,-0.42818007,-9.814195
435,-1.4255842,-11.763541
436,-3.8407273,-10.336958
437,-6.71744,-9.438768
438,-1.4277762,-11.725565
439,-0.40706086,-9.809316
440,-6.661294,-5.818886
441,-2.3720624,-10.089747
442,-7.051399,-8.13009
443,-6.799809,-9.403414
444,-5.118167,-11.881551
445,-0.35345963,-9.73503
446,-0.4502334,-9.820209
447,-4.175713,-10.074956
448,-6.6401963,-5.748231
449,0.24599764,-10.546101
450,-4.9139223,-8.194305
451,-6.78669,-9.384093
452,-4.6378746,-10.625917
453,-4.7228413,-9.97108
454,-6.622015,-5.8700485
455,-5.005663,-10.768645
456,-6.9857388,-8.108776
457,-1.5261699,-11.811392
458,-5.0650263,-11.461352
459,-3.2223291,-11.5943
460,-3.8992927,-10.403847
461,-4.271191,-10.346447
462,-3.090994,-8.11418
463,-4.161292,-10.090606
464,-4.9765453,-5.8460526
465,-2.1848748,-10.562915
466,-5.2052994,-11.482777
467,-4.920007,-5.8008904
468,-4.817144,-5.8140554
469,-4.159328,-10.2619915
470,-1.4277676,-11.792251
471,-4.9353623,-5.8525643
472,-1.9906902,-9.538145
473,-5.6709356,-10.458819
474,-4.545863,-10.299683
475,-3.2221007,-11.713558
476,-6.62161,-5.818664
477,-3.999494,-7.34056
478,-5.749882,-11.654765
479,-4.899834,-5.83859
480,-5.508432,-5.3994646
481,-2.814502,-7.9139447
482,-5.702724,-10.671988
483,-6.5842066,-9.818275
484,-6.6676564,-5.7681904
485,-6.049585,-12.234525
486,-0.45240477,-9.843179
487,-1.3954153,-11.860644
488,-6.7039695,-9.391169
489,-6.6159906,-5.7374306
490,-4.7917614,-10.05677
491,-1.4454533,-11.777929
492,-5.151574,-11.237665
493,-4.933425,-10.323411
494,-5.4346027,-10.566985
495,-2.9183471,-9.486096
496,-4.218129,-10.136468
